"counts","number of items in equivalence class","isoforms in equivalence class"
1,4,"ENST00000340134,ENST00000382123,ENST00000636579,ENST00000636615"
1,3,"ENST00000340134,ENST00000382123,ENST00000636615"
148,1,"ENST00000340149"
194,2,"ENST00000340149,ENST00000361507"
2,3,"ENST00000340149,ENST00000361507,ENST00000528886"
10,4,"ENST00000340149,ENST00000361507,ENST00000528886,ENST00000530915"
5,1,"ENST00000340160"
1,3,"ENST00000340160,ENST00000518429,ENST00000520358"
1,7,"ENST00000340160,ENST00000518429,ENST00000520358,ENST00000520837,ENST00000520999,ENST00000533202,ENST00000533786"
1,4,"ENST00000340160,ENST00000518429,ENST00000520358,ENST00000533080"
5,2,"ENST00000340160,ENST00000520358"
1,7,"ENST00000340160,ENST00000520358,ENST00000520837,ENST00000520999,ENST00000533080,ENST00000533202,ENST00000533786"
2,1,"ENST00000340252"
1,3,"ENST00000340252,ENST00000355721,ENST00000356632"
3,4,"ENST00000340252,ENST00000355721,ENST00000356632,ENST00000358658"
2,12,"ENST00000340252,ENST00000355721,ENST00000356632,ENST00000358658,ENST00000526516,ENST00000526799,ENST00000528884,ENST00000530139,ENST00000530995,ENST00000532450,ENST00000533340,ENST00000533842"
2,13,"ENST00000340252,ENST00000355721,ENST00000356632,ENST00000358658,ENST00000526516,ENST00000526799,ENST00000528884,ENST00000530995,ENST00000532450,ENST00000532802,ENST00000533340,ENST00000533753,ENST00000533842"
6,12,"ENST00000340252,ENST00000355721,ENST00000356632,ENST00000358658,ENST00000526516,ENST00000526799,ENST00000528884,ENST00000530995,ENST00000532450,ENST00000533340,ENST00000533753,ENST00000533842"
7,11,"ENST00000340252,ENST00000355721,ENST00000356632,ENST00000358658,ENST00000526516,ENST00000526799,ENST00000528884,ENST00000530995,ENST00000532450,ENST00000533340,ENST00000533842"
2,8,"ENST00000340252,ENST00000355721,ENST00000356632,ENST00000358658,ENST00000526516,ENST00000526799,ENST00000530995,ENST00000532802"
2,9,"ENST00000340252,ENST00000355721,ENST00000356632,ENST00000358658,ENST00000526516,ENST00000526799,ENST00000530995,ENST00000532802,ENST00000533842"
1,7,"ENST00000340252,ENST00000355721,ENST00000356632,ENST00000358658,ENST00000526799,ENST00000530139,ENST00000530995"
3,5,"ENST00000340252,ENST00000355721,ENST00000356632,ENST00000358658,ENST00000530139"
2,3,"ENST00000340252,ENST00000356632,ENST00000358658"
5,2,"ENST00000340252,ENST00000528884"
3,1,"ENST00000340273"
1,1,"ENST00000340313"
1,4,"ENST00000340313,ENST00000342202,ENST00000394216,ENST00000394217"
104,1,"ENST00000340353"
4,2,"ENST00000340353,ENST00000526733"
61,1,"ENST00000340360"
1,2,"ENST00000340360,ENST00000527087"
5,6,"ENST00000340360,ENST00000527087,ENST00000528219,ENST00000530562,ENST00000531852,ENST00000684022"
3,3,"ENST00000340360,ENST00000527087,ENST00000684022"
2,3,"ENST00000340360,ENST00000530562,ENST00000531849"
1,2,"ENST00000340360,ENST00000531849"
3,2,"ENST00000340360,ENST00000531852"
3,2,"ENST00000340360,ENST00000684022"
483,1,"ENST00000340437"
4,2,"ENST00000340437,ENST00000394888"
17,18,"ENST00000340437,ENST00000394888,ENST00000413184,ENST00000413232,ENST00000439958,ENST00000448745,ENST00000449811,ENST00000450000,ENST00000477890,ENST00000535222,ENST00000536145,ENST00000536548,ENST00000537162,ENST00000539952,ENST00000541963,ENST00000543545,ENST00000544585,ENST00000544990"
65,19,"ENST00000340437,ENST00000394888,ENST00000413184,ENST00000413232,ENST00000439958,ENST00000448745,ENST00000449811,ENST00000450000,ENST00000477890,ENST00000535222,ENST00000536145,ENST00000536548,ENST00000537162,ENST00000539952,ENST00000541963,ENST00000543545,ENST00000544585,ENST00000544990,ENST00000626926"
3,16,"ENST00000340437,ENST00000394888,ENST00000413184,ENST00000413232,ENST00000439958,ENST00000448745,ENST00000449811,ENST00000450000,ENST00000477890,ENST00000535222,ENST00000536145,ENST00000536548,ENST00000537162,ENST00000539952,ENST00000541963,ENST00000544585"
5,17,"ENST00000340437,ENST00000394888,ENST00000413184,ENST00000413232,ENST00000439958,ENST00000448745,ENST00000449811,ENST00000450000,ENST00000477890,ENST00000535222,ENST00000536145,ENST00000536548,ENST00000537162,ENST00000539952,ENST00000541963,ENST00000544585,ENST00000544990"
14,15,"ENST00000340437,ENST00000394888,ENST00000413184,ENST00000413232,ENST00000439958,ENST00000448745,ENST00000449811,ENST00000450000,ENST00000477890,ENST00000535222,ENST00000536145,ENST00000536548,ENST00000537162,ENST00000539952,ENST00000544585"
21,11,"ENST00000340437,ENST00000394888,ENST00000413184,ENST00000413232,ENST00000439958,ENST00000448745,ENST00000449811,ENST00000450000,ENST00000477890,ENST00000539952,ENST00000544585"
7,12,"ENST00000340437,ENST00000394888,ENST00000413184,ENST00000413232,ENST00000439958,ENST00000448745,ENST00000449811,ENST00000450000,ENST00000477890,ENST00000539952,ENST00000544585,ENST00000544990"
7,14,"ENST00000340437,ENST00000394888,ENST00000413232,ENST00000439958,ENST00000448745,ENST00000449811,ENST00000450000,ENST00000477890,ENST00000535222,ENST00000536548,ENST00000537162,ENST00000539952,ENST00000541963,ENST00000544585"
5,13,"ENST00000340437,ENST00000394888,ENST00000413232,ENST00000439958,ENST00000448745,ENST00000450000,ENST00000477890,ENST00000535222,ENST00000536548,ENST00000537162,ENST00000539952,ENST00000541963,ENST00000544585"
2,12,"ENST00000340437,ENST00000394888,ENST00000413232,ENST00000439958,ENST00000448745,ENST00000477890,ENST00000535222,ENST00000536548,ENST00000537162,ENST00000539952,ENST00000541963,ENST00000544585"
13,13,"ENST00000340437,ENST00000394888,ENST00000413232,ENST00000439958,ENST00000448745,ENST00000477890,ENST00000535222,ENST00000537162,ENST00000539952,ENST00000541963,ENST00000543545,ENST00000544585,ENST00000544990"
13,11,"ENST00000340437,ENST00000394888,ENST00000413232,ENST00000439958,ENST00000448745,ENST00000477890,ENST00000535222,ENST00000537162,ENST00000539952,ENST00000541963,ENST00000544585"
7,12,"ENST00000340437,ENST00000394888,ENST00000413232,ENST00000439958,ENST00000448745,ENST00000477890,ENST00000535222,ENST00000537162,ENST00000539952,ENST00000543545,ENST00000544585,ENST00000544990"
1,10,"ENST00000340437,ENST00000394888,ENST00000413232,ENST00000439958,ENST00000448745,ENST00000477890,ENST00000535222,ENST00000539952,ENST00000544585,ENST00000544990"
583,3,"ENST00000340437,ENST00000394888,ENST00000439958"
161,4,"ENST00000340437,ENST00000394888,ENST00000439958,ENST00000448745"
132,5,"ENST00000340437,ENST00000394888,ENST00000439958,ENST00000448745,ENST00000477890"
6,7,"ENST00000340437,ENST00000394888,ENST00000439958,ENST00000448745,ENST00000477890,ENST00000535222,ENST00000539952"
10,9,"ENST00000340437,ENST00000394888,ENST00000439958,ENST00000448745,ENST00000477890,ENST00000535222,ENST00000539952,ENST00000544585,ENST00000544990"
3,8,"ENST00000340437,ENST00000394888,ENST00000439958,ENST00000448745,ENST00000477890,ENST00000535222,ENST00000539952,ENST00000544990"
22,6,"ENST00000340437,ENST00000394888,ENST00000439958,ENST00000448745,ENST00000535222,ENST00000539952"
53,5,"ENST00000340437,ENST00000394888,ENST00000439958,ENST00000448745,ENST00000539952"
6,3,"ENST00000340437,ENST00000394888,ENST00000537162"
7,4,"ENST00000340437,ENST00000394888,ENST00000537162,ENST00000543545"
1,2,"ENST00000340437,ENST00000448745"
1,3,"ENST00000340437,ENST00000449811,ENST00000450000"
1,4,"ENST00000340437,ENST00000449811,ENST00000536145,ENST00000537162"
9,2,"ENST00000340437,ENST00000537162"
961,1,"ENST00000340573"
1,2,"ENST00000340687,ENST00000378324"
24,1,"ENST00000340729"
6,6,"ENST00000340729,ENST00000535477,ENST00000538039,ENST00000544683,ENST00000642187,ENST00000642288"
8,5,"ENST00000340729,ENST00000535477,ENST00000538039,ENST00000544683,ENST00000642288"
1,3,"ENST00000340729,ENST00000538021,ENST00000538039"
1,1,"ENST00000340882"
27,2,"ENST00000340882,ENST00000341398"
81,1,"ENST00000341307"
49,4,"ENST00000341307,ENST00000354497,ENST00000536011,ENST00000537981"
1,3,"ENST00000341307,ENST00000354497,ENST00000537981"
1,2,"ENST00000341307,ENST00000356000"
1,3,"ENST00000341307,ENST00000356000,ENST00000542238"
1,3,"ENST00000341307,ENST00000377819,ENST00000537981"
1,2,"ENST00000341307,ENST00000536011"
3,2,"ENST00000341307,ENST00000540798"
45,1,"ENST00000341318"
16,9,"ENST00000341318,ENST00000352980,ENST00000377046,ENST00000528198,ENST00000530446,ENST00000530605,ENST00000531880,ENST00000534104,ENST00000534650"
8,10,"ENST00000341318,ENST00000352980,ENST00000377046,ENST00000528198,ENST00000530446,ENST00000530605,ENST00000531880,ENST00000534104,ENST00000534650,ENST00000534681"
33,9,"ENST00000341318,ENST00000352980,ENST00000377046,ENST00000528198,ENST00000530446,ENST00000531880,ENST00000534104,ENST00000534650,ENST00000534681"
18,8,"ENST00000341318,ENST00000352980,ENST00000377046,ENST00000528198,ENST00000530446,ENST00000531880,ENST00000534650,ENST00000534681"
19,6,"ENST00000341318,ENST00000352980,ENST00000377046,ENST00000530446,ENST00000530605,ENST00000534104"
17,6,"ENST00000341318,ENST00000352980,ENST00000377046,ENST00000530446,ENST00000531880,ENST00000534650"
4,7,"ENST00000341318,ENST00000352980,ENST00000377046,ENST00000530446,ENST00000531880,ENST00000534650,ENST00000534681"
69,6,"ENST00000341318,ENST00000352980,ENST00000377046,ENST00000530446,ENST00000533596,ENST00000534650"
156,5,"ENST00000341318,ENST00000352980,ENST00000377046,ENST00000530446,ENST00000534650"
34,5,"ENST00000341318,ENST00000352980,ENST00000377046,ENST00000533596,ENST00000534650"
3,2,"ENST00000341318,ENST00000377046"
4,4,"ENST00000341318,ENST00000377046,ENST00000530605,ENST00000531880"
14,3,"ENST00000341318,ENST00000377046,ENST00000531880"
24,2,"ENST00000341318,ENST00000530446"
11,3,"ENST00000341318,ENST00000530446,ENST00000534104"
442,1,"ENST00000341356"
16,2,"ENST00000341356,ENST00000393893"
104,6,"ENST00000341356,ENST00000393893,ENST00000537042,ENST00000545016,ENST00000616321,ENST00000627576"
182,4,"ENST00000341356,ENST00000393893,ENST00000537042,ENST00000616321"
92,5,"ENST00000341356,ENST00000393893,ENST00000537042,ENST00000616321,ENST00000627576"
3,5,"ENST00000341356,ENST00000393893,ENST00000545016,ENST00000616321,ENST00000627576"
2,3,"ENST00000341356,ENST00000393893,ENST00000616321"
47,2,"ENST00000341356,ENST00000616321"
3,3,"ENST00000341356,ENST00000616321,ENST00000627576"
2566,1,"ENST00000341394"
112,2,"ENST00000341394,ENST00000389645"
4,3,"ENST00000341394,ENST00000389645,ENST00000529307"
1510,5,"ENST00000341394,ENST00000389645,ENST00000529307,ENST00000530820,ENST00000532820"
243,6,"ENST00000341394,ENST00000389645,ENST00000529307,ENST00000530820,ENST00000532820,ENST00000534825"
1,4,"ENST00000341394,ENST00000389645,ENST00000529307,ENST00000532820"
231,5,"ENST00000341394,ENST00000389645,ENST00000530820,ENST00000532820,ENST00000534825"
4,3,"ENST00000341394,ENST00000389645,ENST00000532820"
2,2,"ENST00000341394,ENST00000529307"
179,3,"ENST00000341394,ENST00000529307,ENST00000532820"
850,2,"ENST00000341394,ENST00000532820"
106,1,"ENST00000341541"
7,2,"ENST00000341541,ENST00000352327"
182,4,"ENST00000341541,ENST00000352327,ENST00000392594,ENST00000392595"
91,3,"ENST00000341541,ENST00000392594,ENST00000392595"
3,1,"ENST00000341846"
1,5,"ENST00000341958,ENST00000381968,ENST00000381978,ENST00000417052,ENST00000430303"
51,1,"ENST00000341980"
15,4,"ENST00000341980,ENST00000393055,ENST00000527614,ENST00000534521"
19,3,"ENST00000341980,ENST00000527614,ENST00000534521"
5,2,"ENST00000341980,ENST00000534521"
27,1,"ENST00000342245"
1,6,"ENST00000342245,ENST00000526280,ENST00000527275,ENST00000530395,ENST00000533123,ENST00000534405"
39,6,"ENST00000342245,ENST00000526280,ENST00000527275,ENST00000531303,ENST00000533123,ENST00000534405"
19,5,"ENST00000342245,ENST00000526280,ENST00000527275,ENST00000533123,ENST00000534405"
3,4,"ENST00000342245,ENST00000526280,ENST00000533123,ENST00000534405"
3,2,"ENST00000342245,ENST00000527275"
3,5,"ENST00000342245,ENST00000527275,ENST00000530395,ENST00000533123,ENST00000534405"
11,5,"ENST00000342245,ENST00000527275,ENST00000531303,ENST00000533123,ENST00000534405"
8,4,"ENST00000342245,ENST00000527275,ENST00000531303,ENST00000534405"
20,4,"ENST00000342245,ENST00000527275,ENST00000533123,ENST00000534405"
3,4,"ENST00000342245,ENST00000531303,ENST00000533123,ENST00000534405"
5,2,"ENST00000342245,ENST00000534405"
6,1,"ENST00000342456"
1,6,"ENST00000342456,ENST00000612297,ENST00000614849,ENST00000616697,ENST00000617449,ENST00000619675"
1,6,"ENST00000342456,ENST00000612297,ENST00000614849,ENST00000617288,ENST00000617449,ENST00000619675"
6,5,"ENST00000342456,ENST00000612297,ENST00000614849,ENST00000617288,ENST00000619675"
1,5,"ENST00000342456,ENST00000612297,ENST00000614849,ENST00000617449,ENST00000619675"
2,5,"ENST00000342456,ENST00000614849,ENST00000616697,ENST00000617288,ENST00000617449"
4,3,"ENST00000342456,ENST00000614849,ENST00000617288"
51,1,"ENST00000342711"
150,1,"ENST00000342922"
21,7,"ENST00000342922,ENST00000349238,ENST00000395344,ENST00000402192,ENST00000402799,ENST00000406482,ENST00000407859"
13,5,"ENST00000342922,ENST00000395344,ENST00000402192,ENST00000402799,ENST00000406482"
1,2,"ENST00000342922,ENST00000402799"
7,3,"ENST00000342922,ENST00000402799,ENST00000406482"
1,4,"ENST00000342922,ENST00000402799,ENST00000406482,ENST00000407859"
579,1,"ENST00000342935"
1,2,"ENST00000342935,ENST00000532544"
2,1,"ENST00000343202"
104,1,"ENST00000343338"
1,9,"ENST00000343338,ENST00000354599,ENST00000399602,ENST00000429541,ENST00000525502,ENST00000526601,ENST00000532539,ENST00000533036,ENST00000620374"
3,5,"ENST00000343338,ENST00000354599,ENST00000399602,ENST00000429541,ENST00000620374"
65,4,"ENST00000343338,ENST00000354599,ENST00000399602,ENST00000620374"
7,5,"ENST00000343338,ENST00000354599,ENST00000427810,ENST00000429541,ENST00000529678"
5,11,"ENST00000343338,ENST00000429541,ENST00000438262,ENST00000526601,ENST00000528218,ENST00000528410,ENST00000529678,ENST00000532539,ENST00000534569,ENST00000618467,ENST00000620374"
1,5,"ENST00000343338,ENST00000429541,ENST00000532539,ENST00000533036,ENST00000620374"
4,4,"ENST00000343338,ENST00000429541,ENST00000532539,ENST00000620374"
1,2,"ENST00000343338,ENST00000529678"
54,1,"ENST00000343597"
409,2,"ENST00000343597,ENST00000411426"
1,3,"ENST00000343597,ENST00000411426,ENST00000529618"
89,5,"ENST00000343597,ENST00000411426,ENST00000529618,ENST00000534403,ENST00000620384"
409,4,"ENST00000343597,ENST00000411426,ENST00000529618,ENST00000620384"
176,3,"ENST00000343597,ENST00000411426,ENST00000620384"
2,2,"ENST00000343597,ENST00000529618"
39,2,"ENST00000343597,ENST00000620384"
22,1,"ENST00000343631"
100,13,"ENST00000343631,ENST00000358681,ENST00000395673,ENST00000533608,ENST00000682359,ENST00000682711,ENST00000682815,ENST00000682993,ENST00000683000,ENST00000683870,ENST00000684039,ENST00000684124,ENST00000684533"
18,12,"ENST00000343631,ENST00000358681,ENST00000395673,ENST00000533608,ENST00000682359,ENST00000682711,ENST00000682815,ENST00000682993,ENST00000683000,ENST00000683870,ENST00000684124,ENST00000684533"
12,11,"ENST00000343631,ENST00000358681,ENST00000395673,ENST00000533608,ENST00000682359,ENST00000682815,ENST00000682993,ENST00000683000,ENST00000683870,ENST00000684039,ENST00000684124"
37,12,"ENST00000343631,ENST00000358681,ENST00000395673,ENST00000533608,ENST00000682359,ENST00000682815,ENST00000682993,ENST00000683000,ENST00000683870,ENST00000684039,ENST00000684124,ENST00000684533"
7,9,"ENST00000343631,ENST00000358681,ENST00000395673,ENST00000533608,ENST00000682359,ENST00000682993,ENST00000683000,ENST00000683870,ENST00000684533"
11,10,"ENST00000343631,ENST00000358681,ENST00000395673,ENST00000533608,ENST00000682815,ENST00000682993,ENST00000683000,ENST00000683870,ENST00000684039,ENST00000684124"
5,8,"ENST00000343631,ENST00000358681,ENST00000395673,ENST00000533608,ENST00000682993,ENST00000683000,ENST00000684039,ENST00000684124"
13,12,"ENST00000343631,ENST00000395673,ENST00000533608,ENST00000682359,ENST00000682711,ENST00000682815,ENST00000682993,ENST00000683000,ENST00000683870,ENST00000684039,ENST00000684124,ENST00000684533"
5,8,"ENST00000343631,ENST00000395673,ENST00000533608,ENST00000682993,ENST00000683000,ENST00000684039,ENST00000684124,ENST00000684533"
2,7,"ENST00000343631,ENST00000395673,ENST00000682359,ENST00000682711,ENST00000682993,ENST00000683870,ENST00000684124"
1,2,"ENST00000343631,ENST00000682993"
144,1,"ENST00000343674"
23,10,"ENST00000343674,ENST00000421244,ENST00000454345,ENST00000456247,ENST00000524448,ENST00000524984,ENST00000527911,ENST00000528615,ENST00000532868,ENST00000533376"
11,8,"ENST00000343674,ENST00000421244,ENST00000454345,ENST00000456247,ENST00000524984,ENST00000527911,ENST00000528615,ENST00000532868"
10,6,"ENST00000343674,ENST00000421244,ENST00000454345,ENST00000456247,ENST00000527911,ENST00000532868"
7,3,"ENST00000343674,ENST00000454345,ENST00000456247"
32,4,"ENST00000343674,ENST00000454345,ENST00000456247,ENST00000524984"
1,2,"ENST00000343674,ENST00000456247"
1,3,"ENST00000343674,ENST00000524869,ENST00000524984"
2,1,"ENST00000343727"
5,1,"ENST00000343898"
11,4,"ENST00000343898,ENST00000393703,ENST00000497194,ENST00000620017"
1,4,"ENST00000343898,ENST00000393703,ENST00000531053,ENST00000620017"
2,2,"ENST00000343898,ENST00000620017"
2,1,"ENST00000344327"
1,3,"ENST00000344327,ENST00000348423,ENST00000360497"
1,4,"ENST00000344327,ENST00000348423,ENST00000360497,ENST00000532133"
17,1,"ENST00000344762"
85,2,"ENST00000344762,ENST00000529051"
3,1,"ENST00000344931"
2,1,"ENST00000344954"
1,3,"ENST00000344954,ENST00000527786,ENST00000608303"
46,2,"ENST00000344954,ENST00000608303"
1,1,"ENST00000345043"
9,1,"ENST00000345348"
15,2,"ENST00000345348,ENST00000524986"
26,1,"ENST00000345598"
1460,1,"ENST00000345728"
1,2,"ENST00000345728,ENST00000544997"
2363,1,"ENST00000345732"
1,7,"ENST00000345732,ENST00000389939,ENST00000528313,ENST00000532073,ENST00000533306,ENST00000534668,ENST00000674194"
2698,6,"ENST00000345732,ENST00000389939,ENST00000528313,ENST00000532073,ENST00000534668,ENST00000674194"
896,6,"ENST00000345732,ENST00000389939,ENST00000532073,ENST00000533306,ENST00000534668,ENST00000674194"
35,4,"ENST00000345732,ENST00000389939,ENST00000532073,ENST00000534668"
5121,5,"ENST00000345732,ENST00000389939,ENST00000532073,ENST00000534668,ENST00000674194"
21,5,"ENST00000345732,ENST00000389939,ENST00000532491,ENST00000533306,ENST00000534668"
84,4,"ENST00000345732,ENST00000389939,ENST00000532491,ENST00000534668"
549,3,"ENST00000345732,ENST00000389939,ENST00000534668"
432,4,"ENST00000345732,ENST00000389939,ENST00000534668,ENST00000674194"
1,3,"ENST00000345732,ENST00000528313,ENST00000532073"
2,6,"ENST00000345732,ENST00000528313,ENST00000532073,ENST00000532491,ENST00000533306,ENST00000534668"
1,5,"ENST00000345732,ENST00000528313,ENST00000532073,ENST00000532491,ENST00000534668"
2,4,"ENST00000345732,ENST00000532073,ENST00000532491,ENST00000534668"
3,3,"ENST00000345732,ENST00000532073,ENST00000674194"
2,2,"ENST00000345732,ENST00000532491"
82,3,"ENST00000345732,ENST00000532491,ENST00000533306"
2,3,"ENST00000345732,ENST00000532491,ENST00000534668"
59,2,"ENST00000345732,ENST00000533306"
23,3,"ENST00000345732,ENST00000534668,ENST00000674194"
669,2,"ENST00000345732,ENST00000674194"
22,1,"ENST00000345851"
3,4,"ENST00000345851,ENST00000359518,ENST00000525074,ENST00000528227"
6,5,"ENST00000345851,ENST00000359518,ENST00000525074,ENST00000528227,ENST00000529529"
8,5,"ENST00000345851,ENST00000359518,ENST00000525074,ENST00000528227,ENST00000536344"
40,4,"ENST00000345851,ENST00000359518,ENST00000525074,ENST00000536344"
1,3,"ENST00000345851,ENST00000359518,ENST00000536344"
356,1,"ENST00000346178"
1,2,"ENST00000346178,ENST00000356638"
64,10,"ENST00000346178,ENST00000356638,ENST00000525994,ENST00000526210,ENST00000529737,ENST00000532402,ENST00000534613,ENST00000534779,ENST00000540933,ENST00000648273"
6,9,"ENST00000346178,ENST00000356638,ENST00000525994,ENST00000526210,ENST00000532402,ENST00000534613,ENST00000534779,ENST00000540933,ENST00000648273"
21,7,"ENST00000346178,ENST00000356638,ENST00000526210,ENST00000529737,ENST00000532402,ENST00000534613,ENST00000540933"
111,8,"ENST00000346178,ENST00000356638,ENST00000526210,ENST00000529737,ENST00000532402,ENST00000534613,ENST00000540933,ENST00000648273"
9,6,"ENST00000346178,ENST00000356638,ENST00000526210,ENST00000529737,ENST00000534613,ENST00000540933"
1,7,"ENST00000346178,ENST00000356638,ENST00000526210,ENST00000532402,ENST00000534613,ENST00000540933,ENST00000648273"
1,4,"ENST00000346178,ENST00000356638,ENST00000529737,ENST00000540933"
66,4,"ENST00000346178,ENST00000356638,ENST00000529737,ENST00000648273"
63,7,"ENST00000346178,ENST00000356638,ENST00000532402,ENST00000534613,ENST00000534779,ENST00000540933,ENST00000648273"
1387,6,"ENST00000346178,ENST00000356638,ENST00000532402,ENST00000534779,ENST00000540933,ENST00000648273"
11,4,"ENST00000346178,ENST00000356638,ENST00000532402,ENST00000540933"
542,5,"ENST00000346178,ENST00000356638,ENST00000532402,ENST00000540933,ENST00000648273"
1,3,"ENST00000346178,ENST00000356638,ENST00000540933"
61,3,"ENST00000346178,ENST00000356638,ENST00000648273"
16,4,"ENST00000346178,ENST00000525994,ENST00000534613,ENST00000534779"
5,3,"ENST00000346178,ENST00000534613,ENST00000534779"
1,2,"ENST00000346178,ENST00000648273"
9,1,"ENST00000346299"
228,48,"ENST00000346299,ENST00000352297,ENST00000393223,ENST00000409459,ENST00000444541,ENST00000470293,ENST00000481642,ENST00000484818,ENST00000495134,ENST00000497683,ENST00000674528,ENST00000674610,ENST00000674924,ENST00000674950,ENST00000674968,ENST00000674974,ENST00000674989,ENST00000675022,ENST00000675030,ENST00000675174,ENST00000675196,ENST00000675288,ENST00000675320,ENST00000675362,ENST00000675438,ENST00000675454,ENST00000675477,ENST00000675489,ENST00000675636,ENST00000675652,ENST00000675660,ENST00000675807,ENST00000675848,ENST00000675896,ENST00000675910,ENST00000675922,ENST00000675933,ENST00000675981,ENST00000676027,ENST00000676146,ENST00000676166,ENST00000676177,ENST00000676261,ENST00000676268,ENST00000676272,ENST00000676378,ENST00000676388,ENST00000676440"
4,47,"ENST00000346299,ENST00000352297,ENST00000393223,ENST00000409459,ENST00000444541,ENST00000470293,ENST00000481642,ENST00000484818,ENST00000495134,ENST00000497683,ENST00000674528,ENST00000674610,ENST00000674924,ENST00000674950,ENST00000674968,ENST00000674974,ENST00000674989,ENST00000675022,ENST00000675030,ENST00000675174,ENST00000675196,ENST00000675288,ENST00000675320,ENST00000675362,ENST00000675438,ENST00000675454,ENST00000675477,ENST00000675489,ENST00000675636,ENST00000675652,ENST00000675660,ENST00000675807,ENST00000675848,ENST00000675910,ENST00000675922,ENST00000675933,ENST00000675981,ENST00000676027,ENST00000676146,ENST00000676166,ENST00000676177,ENST00000676261,ENST00000676268,ENST00000676272,ENST00000676378,ENST00000676388,ENST00000676440"
33,47,"ENST00000346299,ENST00000352297,ENST00000393223,ENST00000409459,ENST00000444541,ENST00000470293,ENST00000481642,ENST00000484818,ENST00000495134,ENST00000497683,ENST00000674528,ENST00000674610,ENST00000674924,ENST00000674950,ENST00000674968,ENST00000674974,ENST00000674989,ENST00000675022,ENST00000675030,ENST00000675174,ENST00000675196,ENST00000675288,ENST00000675320,ENST00000675362,ENST00000675454,ENST00000675477,ENST00000675489,ENST00000675636,ENST00000675652,ENST00000675660,ENST00000675807,ENST00000675848,ENST00000675896,ENST00000675910,ENST00000675922,ENST00000675933,ENST00000675981,ENST00000676027,ENST00000676146,ENST00000676166,ENST00000676177,ENST00000676261,ENST00000676268,ENST00000676272,ENST00000676378,ENST00000676388,ENST00000676440"
15,40,"ENST00000346299,ENST00000352297,ENST00000393223,ENST00000409459,ENST00000444541,ENST00000470293,ENST00000481642,ENST00000484818,ENST00000495134,ENST00000497683,ENST00000674528,ENST00000674610,ENST00000674924,ENST00000674950,ENST00000674968,ENST00000674974,ENST00000674989,ENST00000675022,ENST00000675174,ENST00000675196,ENST00000675320,ENST00000675362,ENST00000675438,ENST00000675454,ENST00000675477,ENST00000675489,ENST00000675636,ENST00000675652,ENST00000675896,ENST00000675910,ENST00000675933,ENST00000675981,ENST00000676146,ENST00000676166,ENST00000676177,ENST00000676261,ENST00000676268,ENST00000676272,ENST00000676378,ENST00000676440"
4,39,"ENST00000346299,ENST00000352297,ENST00000393223,ENST00000409459,ENST00000444541,ENST00000470293,ENST00000481642,ENST00000484818,ENST00000495134,ENST00000497683,ENST00000674528,ENST00000674610,ENST00000674924,ENST00000674950,ENST00000674968,ENST00000674974,ENST00000674989,ENST00000675022,ENST00000675174,ENST00000675196,ENST00000675320,ENST00000675362,ENST00000675454,ENST00000675477,ENST00000675489,ENST00000675636,ENST00000675652,ENST00000675896,ENST00000675910,ENST00000675933,ENST00000675981,ENST00000676146,ENST00000676166,ENST00000676177,ENST00000676261,ENST00000676268,ENST00000676272,ENST00000676378,ENST00000676440"
45,46,"ENST00000346299,ENST00000352297,ENST00000393223,ENST00000409459,ENST00000444541,ENST00000470293,ENST00000481642,ENST00000484818,ENST00000495134,ENST00000497683,ENST00000674528,ENST00000674610,ENST00000674924,ENST00000674950,ENST00000674968,ENST00000674974,ENST00000674989,ENST00000675030,ENST00000675174,ENST00000675196,ENST00000675288,ENST00000675320,ENST00000675362,ENST00000675438,ENST00000675454,ENST00000675477,ENST00000675489,ENST00000675636,ENST00000675652,ENST00000675660,ENST00000675807,ENST00000675848,ENST00000675896,ENST00000675910,ENST00000675922,ENST00000675933,ENST00000675981,ENST00000676027,ENST00000676166,ENST00000676177,ENST00000676261,ENST00000676268,ENST00000676272,ENST00000676378,ENST00000676388,ENST00000676440"
22,45,"ENST00000346299,ENST00000352297,ENST00000393223,ENST00000409459,ENST00000444541,ENST00000470293,ENST00000481642,ENST00000484818,ENST00000495134,ENST00000497683,ENST00000674528,ENST00000674610,ENST00000674924,ENST00000674950,ENST00000674968,ENST00000674974,ENST00000674989,ENST00000675030,ENST00000675174,ENST00000675196,ENST00000675288,ENST00000675320,ENST00000675362,ENST00000675438,ENST00000675454,ENST00000675477,ENST00000675489,ENST00000675636,ENST00000675652,ENST00000675660,ENST00000675807,ENST00000675848,ENST00000675896,ENST00000675910,ENST00000675922,ENST00000675933,ENST00000675981,ENST00000676027,ENST00000676166,ENST00000676177,ENST00000676261,ENST00000676272,ENST00000676378,ENST00000676388,ENST00000676440"
