"counts","number of items in equivalence class","isoforms in equivalence class"
2,3,"ENST00000227155,ENST00000524750,ENST00000536991"
1,3,"ENST00000227155,ENST00000524750,ENST00000692219"
109,6,"ENST00000227155,ENST00000525813,ENST00000526958,ENST00000527737,ENST00000530601,ENST00000532544"
5,4,"ENST00000227155,ENST00000525813,ENST00000526958,ENST00000532544"
22,4,"ENST00000227155,ENST00000526958,ENST00000527737,ENST00000530601"
21,5,"ENST00000227155,ENST00000526958,ENST00000527737,ENST00000530601,ENST00000532544"
58,3,"ENST00000227155,ENST00000526958,ENST00000530601"
1,3,"ENST00000227155,ENST00000526958,ENST00000532544"
131,2,"ENST00000227155,ENST00000530601"
19,2,"ENST00000227155,ENST00000532544"
3488,1,"ENST00000227157"
21,2,"ENST00000227157,ENST00000379412"
600,18,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000430553,ENST00000478970,ENST00000486690,ENST00000495052,ENST00000535451,ENST00000536528,ENST00000539814,ENST00000540430,ENST00000541097,ENST00000542179,ENST00000543445,ENST00000543695,ENST00000545215,ENST00000545467"
320,19,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000430553,ENST00000478970,ENST00000486690,ENST00000495052,ENST00000535451,ENST00000536528,ENST00000539814,ENST00000540430,ENST00000541097,ENST00000542179,ENST00000543445,ENST00000543695,ENST00000545215,ENST00000545467,ENST00000625635"
327,17,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000430553,ENST00000478970,ENST00000486690,ENST00000495052,ENST00000535451,ENST00000536528,ENST00000539814,ENST00000540430,ENST00000541097,ENST00000542179,ENST00000543445,ENST00000545215,ENST00000545467"
1840,13,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000430553,ENST00000478970,ENST00000495052,ENST00000535451,ENST00000539814,ENST00000540430,ENST00000541097,ENST00000542179,ENST00000543445"
17,14,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000430553,ENST00000478970,ENST00000495052,ENST00000535451,ENST00000539814,ENST00000540430,ENST00000541097,ENST00000542179,ENST00000543445,ENST00000545467"
135,12,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000430553,ENST00000478970,ENST00000495052,ENST00000539814,ENST00000540430,ENST00000541097,ENST00000542179,ENST00000543445"
380,13,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000430553,ENST00000478970,ENST00000495052,ENST00000539814,ENST00000540430,ENST00000541097,ENST00000542179,ENST00000543445,ENST00000545467"
2982,11,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000430553,ENST00000486690,ENST00000536528,ENST00000540430,ENST00000542179,ENST00000543695,ENST00000545215"
615,10,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000430553,ENST00000486690,ENST00000536528,ENST00000540430,ENST00000542179,ENST00000545215"
324,6,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000430553,ENST00000540430"
1,7,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000430553,ENST00000540430,ENST00000542179"
1,8,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000430553,ENST00000540430,ENST00000542179,ENST00000543445"
5881,7,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000430553,ENST00000540430,ENST00000545215"
64,12,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000478970,ENST00000486690,ENST00000495052,ENST00000539814,ENST00000540430,ENST00000542179,ENST00000543445,ENST00000545215"
26,11,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000478970,ENST00000486690,ENST00000495052,ENST00000540430,ENST00000542179,ENST00000543445,ENST00000545215"
90,11,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000478970,ENST00000486690,ENST00000540430,ENST00000542179,ENST00000543445,ENST00000543695,ENST00000545215"
982,10,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000478970,ENST00000486690,ENST00000540430,ENST00000542179,ENST00000543445,ENST00000545215"
20,10,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000478970,ENST00000495052,ENST00000539814,ENST00000540430,ENST00000542179,ENST00000543445"
36,11,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000478970,ENST00000495052,ENST00000540430,ENST00000541097,ENST00000542179,ENST00000543445,ENST00000545467"
758,9,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000478970,ENST00000495052,ENST00000540430,ENST00000542179,ENST00000543445"
421,10,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000478970,ENST00000495052,ENST00000540430,ENST00000542179,ENST00000543445,ENST00000545467"
788,10,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000486690,ENST00000540430,ENST00000542179,ENST00000543445,ENST00000543695,ENST00000545215"
624,9,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000486690,ENST00000540430,ENST00000542179,ENST00000543695,ENST00000545215"
1082,5,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000540430"
1,3,"ENST00000227157,ENST00000379412,ENST00000422447"
2,10,"ENST00000227157,ENST00000379412,ENST00000422447,ENST00000430553,ENST00000486690,ENST00000536528,ENST00000540430,ENST00000541097,ENST00000542179,ENST00000545215"
443,9,"ENST00000227157,ENST00000379412,ENST00000422447,ENST00000430553,ENST00000486690,ENST00000536528,ENST00000540430,ENST00000542179,ENST00000545215"
1412,7,"ENST00000227157,ENST00000379412,ENST00000422447,ENST00000430553,ENST00000540430,ENST00000542179,ENST00000545215"
985,6,"ENST00000227157,ENST00000379412,ENST00000422447,ENST00000430553,ENST00000540430,ENST00000545215"
2,3,"ENST00000227157,ENST00000379412,ENST00000540430"
1,4,"ENST00000227157,ENST00000379412,ENST00000540430,ENST00000542179"
1,4,"ENST00000227157,ENST00000396222,ENST00000422447,ENST00000430553"
15,12,"ENST00000227157,ENST00000396222,ENST00000422447,ENST00000430553,ENST00000535451,ENST00000536528,ENST00000539814,ENST00000541097,ENST00000543445,ENST00000543695,ENST00000545215,ENST00000545467"
500,10,"ENST00000227157,ENST00000396222,ENST00000422447,ENST00000430553,ENST00000536528,ENST00000539814,ENST00000541097,ENST00000543695,ENST00000545215,ENST00000545467"
346,4,"ENST00000227157,ENST00000396222,ENST00000422447,ENST00000540430"
2,2,"ENST00000227157,ENST00000422447"
1,2,"ENST00000227157,ENST00000430553"
1,2,"ENST00000227157,ENST00000478970"
2,4,"ENST00000227157,ENST00000478970,ENST00000486690,ENST00000545215"
12,2,"ENST00000227157,ENST00000486690"
1,4,"ENST00000227157,ENST00000486690,ENST00000543695,ENST00000545215"
1,2,"ENST00000227157,ENST00000535451"
6,3,"ENST00000227157,ENST00000535451,ENST00000625635"
1,2,"ENST00000227157,ENST00000625635"
60,1,"ENST00000227163"
